
### Contact encoders (Experiment C)

| run | split | frame_recall | frame_precision | slot_recall | d_mae | point_err_median_pct_min_dim | normal_deg_median | cardinality_acc | ece | first_impact_err_steps_median | first_impact_err_steps_p99 | first_impact_missed |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| expE_joint | test_geometry/learned | 6.482e-05 | 0.05613 | 0.1303 | 92.11 | 0.2614 | 2.953 | 0.4534 | 7.181 | 0.01536 | 36.5 | 0.001705 | 0.0007976 |
| expE_joint | test_geometry/analytic | 1.192e-07 | 0.7531 | 4.779 | 130.6 | 4.839 | 20.75 | 3.766 | 20.18 | 0.01626 | 97.5 | 4.777 | 21.2 |
| expE_r2_joint_patch | val/learned | 9.686e-08 | 0.04631 | 0.1718 | 93.29 | 0.2623 | 3.149 | 0.4201 | 7.08 | 0.01328 | 32 | 0.0047 | 0 |
| expE_r2_joint_patch | val/analytic | 9.686e-08 | 0.121 | 0.3098 | 115.8 | 0.4041 | 3.825 | 1.907 | 17.87 | 0.024 | 45.5 | 0.1086 | 0 |
| expE_r2_joint_patch | test/learned | 1.192e-07 | 0.0508 | 0.1574 | 91.84 | 0.2667 | 2.991 | 0.4757 | 5.737 | 0.009499 | 28.5 | 0.00777 | 0 |
| expE_r2_joint_patch | test/analytic | 1.192e-07 | 0.09921 | 0.2775 | 120.2 | 0.3937 | 3.775 | 1.671 | 15.36 | 0.02524 | 48.5 | 0.1171 | 0 |
| expE_r2_joint_patch | test_geometry/learned | 1.192e-07 | 0.04711 | 0.1513 | 97.61 | 0.2669 | 3.551 | 0.4265 | 6.224 | 0.01339 | 38 | 0.003627 | 0 |
| expE_r2_joint_patch | test_geometry/analytic | 1.192e-07 | 0.0954 | 0.2502 | 109.4 | 0.3566 | 3.675 | 1.753 | 17.56 | 0.01522 | 47.5 | 0.1035 | 0 |
| expE_r2_joint_point | val/learned | 0.0001889 | 0.0482 | 0.138 | 91.03 | 0.3227 | 2.935 | 0.775 | 8.384 | 0.01678 | 83.5 | 0.004031 | 0 |
| expE_r2_joint_point | val/analytic | 9.686e-08 | 0.1011 | 0.3059 | 140.6 | 0.4327 | 5.415 | 1.47 | 19.15 | 0.01013 | 65 | 0.07621 | 0 |
| expE_r2_joint_point | test/learned | 0.0001116 | 0.06211 | 0.1304 | 78.14 | 0.2637 | 2.771 | 0.6398 | 8.582 | 0.01359 | 62 | 0.005282 | 0 |
| expE_r2_joint_point | test/analytic | 1.192e-07 | 0.1097 | 0.3143 | 130.2 | 0.4574 | 5.511 | 1.639 | 16.09 | 0.01556 | 75 | 0.06342 | 0 |
| expE_r2_joint_point | test_geometry/learned | 9.211e-05 | 0.05362 | 0.1561 | 90.3 | 0.2639 | 2.723 | 0.7108 | 10.1 | 0.01036 | 79.5 | 0.004609 | 0 |
| expE_r2_joint_point | test_geometry/analytic | 1.192e-07 | 0.09755 | 0.2468 | 124.6 | 0.3772 | 5.222 | 1.581 | 19.26 | 0.01617 | 66 | 0.07488 | 0 |
