NVIDIA A100-SXM4-40GB, 580.159.04, 40960 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_transition.py --data data/pilot1b --contact-mode explicit --out runs/expD_learned_frozen --steps 30000 --eval-every 10000 --workers 2 --encoder-ckpt runs/expC_patch/final.pt --eval-contact-sources gt,analytic,learned
loaded split train: 1189 episodes in 13.6s
loaded split val: 255 episodes in 2.9s
loaded split test: 255 episodes in 2.9s
loaded split test_geometry: 301 episodes in 3.4s
transition model contact_mode=explicit params=640582
step 20400 loss 0.03917 (1-step 0.03917) 428s
step 20500 loss 0.03886 (1-step 0.03886) 430s
step 20600 loss 0.04682 (1-step 0.04682) 432s
step 20700 loss 0.03706 (1-step 0.03706) 434s
step 20800 loss 0.04788 (1-step 0.04788) 436s
step 20900 loss 0.05682 (1-step 0.05682) 438s
step 21000 loss 0.03268 (1-step 0.03268) 441s
step 21100 loss 0.03814 (1-step 0.03814) 443s
step 21200 loss 0.02744 (1-step 0.02744) 445s
step 21300 loss 0.03427 (1-step 0.03427) 447s
step 21400 loss 0.04755 (1-step 0.04755) 450s
step 21500 loss 0.04977 (1-step 0.04977) 452s
step 21600 loss 0.02305 (1-step 0.02305) 454s
step 21700 loss 0.04609 (1-step 0.04609) 456s
step 21800 loss 0.03697 (1-step 0.03697) 458s
step 21900 loss 0.04145 (1-step 0.04145) 460s
step 22000 loss 0.03508 (1-step 0.03508) 462s
step 22100 loss 0.03545 (1-step 0.03545) 464s
step 22200 loss 0.03086 (1-step 0.03086) 466s
step 22300 loss 0.04826 (1-step 0.04826) 468s
step 22400 loss 0.05194 (1-step 0.05194) 471s
step 22500 loss 0.05046 (1-step 0.05046) 473s
step 22600 loss 0.01991 (1-step 0.01991) 476s
step 22700 loss 0.02439 (1-step 0.02439) 478s
step 22800 loss 0.04229 (1-step 0.04229) 480s
step 22900 loss 0.02577 (1-step 0.02577) 482s
step 23000 loss 0.02176 (1-step 0.02176) 484s
step 23100 loss 0.04381 (1-step 0.04381) 487s
step 23200 loss 0.03526 (1-step 0.03526) 489s
step 23300 loss 0.03306 (1-step 0.03306) 492s
step 23400 loss 0.02844 (1-step 0.02844) 494s
step 23500 loss 0.03216 (1-step 0.03216) 496s
step 23600 loss 0.02682 (1-step 0.02682) 499s
step 23700 loss 0.04247 (1-step 0.04247) 501s
step 23800 loss 0.02873 (1-step 0.02873) 503s
step 23900 loss 0.03056 (1-step 0.03056) 505s
step 24000 loss 0.03252 (1-step 0.03252) 507s
step 24100 loss 0.02297 (1-step 0.02297) 510s
step 24200 loss 0.02803 (1-step 0.02803) 512s
step 24300 loss 0.02850 (1-step 0.02850) 514s
step 24400 loss 0.02014 (1-step 0.02014) 517s
step 24500 loss 0.01500 (1-step 0.01500) 519s
step 24600 loss 0.03141 (1-step 0.03141) 522s
step 24700 loss 0.03029 (1-step 0.03029) 524s
step 24800 loss 0.03118 (1-step 0.03118) 527s
step 24900 loss 0.02261 (1-step 0.02261) 529s
step 25000 loss 0.02890 (1-step 0.02890) 531s
step 25100 loss 0.01844 (1-step 0.01844) 534s
step 25200 loss 0.03957 (1-step 0.03957) 536s
step 25300 loss 0.02361 (1-step 0.02361) 539s
step 25400 loss 0.04385 (1-step 0.04385) 541s
step 25500 loss 0.02352 (1-step 0.02352) 544s
step 25600 loss 0.02303 (1-step 0.02303) 546s
step 25700 loss 0.02707 (1-step 0.02707) 549s
step 25800 loss 0.02539 (1-step 0.02539) 551s
step 25900 loss 0.02969 (1-step 0.02969) 554s
step 26000 loss 0.03321 (1-step 0.03321) 556s
step 26100 loss 0.02693 (1-step 0.02693) 559s
step 26200 loss 0.02386 (1-step 0.02386) 561s
step 26300 loss 0.03667 (1-step 0.03667) 563s
step 26400 loss 0.03045 (1-step 0.03045) 566s
step 26500 loss 0.02537 (1-step 0.02537) 568s
step 26600 loss 0.02089 (1-step 0.02089) 571s
step 26700 loss 0.04773 (1-step 0.04773) 573s
step 26800 loss 0.04296 (1-step 0.04296) 576s
step 26900 loss 0.02703 (1-step 0.02703) 578s
step 27000 loss 0.02466 (1-step 0.02466) 580s
step 27100 loss 0.02344 (1-step 0.02344) 582s
step 27200 loss 0.02932 (1-step 0.02932) 584s
step 27300 loss 0.02821 (1-step 0.02821) 586s
step 27400 loss 0.03589 (1-step 0.03589) 588s
step 27500 loss 0.01922 (1-step 0.01922) 590s
step 27600 loss 0.02732 (1-step 0.02732) 591s
step 27700 loss 0.03472 (1-step 0.03472) 593s
step 27800 loss 0.02596 (1-step 0.02596) 595s
step 27900 loss 0.02389 (1-step 0.02389) 597s
step 28000 loss 0.02439 (1-step 0.02439) 599s
step 28100 loss 0.02625 (1-step 0.02625) 601s
step 28200 loss 0.02383 (1-step 0.02383) 603s
step 28300 loss 0.01942 (1-step 0.01942) 606s
step 28400 loss 0.02211 (1-step 0.02211) 608s
step 28500 loss 0.04522 (1-step 0.04522) 610s
step 28600 loss 0.02730 (1-step 0.02730) 612s
step 28700 loss 0.01499 (1-step 0.01499) 614s
step 28800 loss 0.02321 (1-step 0.02321) 616s
step 28900 loss 0.02080 (1-step 0.02080) 618s
step 29000 loss 0.03344 (1-step 0.03344) 620s
step 29100 loss 0.01753 (1-step 0.01753) 622s
step 29200 loss 0.02729 (1-step 0.02729) 625s
step 29300 loss 0.03466 (1-step 0.03466) 627s
step 29400 loss 0.04574 (1-step 0.04574) 630s
step 29500 loss 0.03354 (1-step 0.03354) 632s
step 29600 loss 0.01566 (1-step 0.01566) 634s
step 29700 loss 0.02913 (1-step 0.02913) 637s
step 29800 loss 0.03844 (1-step 0.03844) 639s
step 29900 loss 0.03405 (1-step 0.03405) 642s
step 30000 loss 0.01459 (1-step 0.01459) 644s
  [val one-step] dv_err_mean=0.004906 dw_err_mean=0.1052 dv_err_far_free=3.737e-08 dw_err_far_free=0.00514 dv_err_near_contact=1.692e-08 dw_err_near_contact=0.02431 dv_err_first_impact=0.2892 dw_err_first_impact=3.92 dv_err_contact=0.00624 dw_err_contact=0.1337 dv_err_rebound_repeat=0.04293 dw_err_rebound_repeat=0.9947 dv_err_resting=0.003226 dw_err_resting=0.08961
[rollout val/gt] pos_err@100=9.686e-08 pos_err@500=0.08061 pos_err_final=0.347 rot_err_deg_final=158.2 v_err_mean=0.4433 w_err_mean=5.217 impact_dv_err=0.5641 impact_dw_err=6.207 apex_err=0.01494 max_penetration_pred=0.2301 artificial_energy_max=0
[rollout val/analytic] pos_err@100=9.686e-08 pos_err@500=0.05125 pos_err_final=0.1571 rot_err_deg_final=93.24 v_err_mean=0.2405 w_err_mean=3.053 impact_dv_err=0.5479 impact_dw_err=6.703 apex_err=0.009881 max_penetration_pred=0.01017 artificial_energy_max=0
[rollout val/learned] pos_err@100=0.01196 pos_err@500=0.1811 pos_err_final=0.2911 rot_err_deg_final=130.2 v_err_mean=0.758 w_err_mean=3.991 impact_dv_err=3.58 impact_dw_err=18.3 apex_err=0.2021 max_penetration_pred=0.03069 artificial_energy_max=0
[rollout test/gt] pos_err@100=1.192e-07 pos_err@500=0.07156 pos_err_final=0.2749 rot_err_deg_final=165.4 v_err_mean=0.384 w_err_mean=4.429 impact_dv_err=0.5549 impact_dw_err=6.437 apex_err=0.009814 max_penetration_pred=0.2513 artificial_energy_max=0
[rollout test/analytic] pos_err@100=1.192e-07 pos_err@500=0.03943 pos_err_final=0.1763 rot_err_deg_final=89.96 v_err_mean=0.2458 w_err_mean=2.792 impact_dv_err=0.5063 impact_dw_err=6.346 apex_err=0.009861 max_penetration_pred=0.009319 artificial_energy_max=0
[rollout test/learned] pos_err@100=0.01382 pos_err@500=0.1749 pos_err_final=0.3163 rot_err_deg_final=97.48 v_err_mean=0.7176 w_err_mean=3.88 impact_dv_err=3.542 impact_dw_err=15.39 apex_err=0.2053 max_penetration_pred=0.02696 artificial_energy_max=0
[rollout test_geometry/gt] pos_err@100=1.192e-07 pos_err@500=0.07532 pos_err_final=0.2654 rot_err_deg_final=159.9 v_err_mean=0.3662 w_err_mean=4.822 impact_dv_err=0.527 impact_dw_err=8.66 apex_err=0.01524 max_penetration_pred=0.2303 artificial_energy_max=0
[rollout test_geometry/analytic] pos_err@100=1.192e-07 pos_err@500=0.05628 pos_err_final=0.1374 rot_err_deg_final=88.77 v_err_mean=0.2353 w_err_mean=2.974 impact_dv_err=0.5465 impact_dw_err=8.079 apex_err=0.01322 max_penetration_pred=0.009229 artificial_energy_max=0
[rollout test_geometry/learned] pos_err@100=0.01079 pos_err@500=0.1664 pos_err_final=0.2421 rot_err_deg_final=107.3 v_err_mean=0.7256 w_err_mean=3.822 impact_dv_err=3.7 impact_dw_err=20.32 apex_err=0.2285 max_penetration_pred=0.02239 artificial_energy_max=0
TRAIN_DONE
