NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_contact.py --data data/pilot1b --encoder point --out runs/expC_point_30k --steps 30000 --batch 512 --eval-every 5000 --max-eval-episodes 120 --workers 2
loaded split train: 1189 episodes in 7.6s
loaded split val: 255 episodes in 1.7s
loaded split test: 255 episodes in 1.5s
loaded split test_geometry: 301 episodes in 1.9s
encoder=point params=557089
train category counts: {'far_free': 479239, 'near_contact': 183323, 'first_impact': 5945, 'contact': 564239, 'rebound_repeat': 32828, 'resting': 200194}
step 5900 loss 0.4000 active=0.036 d=0.000 p_box=0.001 p_ground=0.121 normal=0.000 cardinality=0.612 uncertainty=-2.940 (335s)
step 6000 loss 0.1866 active=0.036 d=0.001 p_box=0.001 p_ground=0.083 normal=0.000 cardinality=0.565 uncertainty=-2.951 (340s)
step 6100 loss 0.2670 active=0.035 d=0.000 p_box=0.001 p_ground=0.095 normal=0.000 cardinality=0.619 uncertainty=-2.955 (345s)
step 6200 loss 0.2879 active=0.032 d=0.000 p_box=0.001 p_ground=0.115 normal=0.000 cardinality=0.475 uncertainty=-2.958 (351s)
step 6300 loss 0.1529 active=0.035 d=0.000 p_box=0.001 p_ground=0.084 normal=0.000 cardinality=0.501 uncertainty=-2.959 (356s)
step 6400 loss 0.1489 active=0.036 d=0.001 p_box=0.000 p_ground=0.072 normal=0.000 cardinality=0.604 uncertainty=-2.964 (361s)
step 6500 loss 0.1020 active=0.031 d=0.000 p_box=0.000 p_ground=0.076 normal=0.000 cardinality=0.501 uncertainty=-2.966 (366s)
step 6600 loss 0.0925 active=0.032 d=0.000 p_box=0.000 p_ground=0.076 normal=0.000 cardinality=0.478 uncertainty=-2.965 (372s)
step 6700 loss 0.1214 active=0.029 d=0.000 p_box=0.000 p_ground=0.084 normal=0.000 cardinality=0.470 uncertainty=-2.968 (377s)
step 6800 loss 0.1712 active=0.032 d=0.000 p_box=0.001 p_ground=0.087 normal=0.000 cardinality=0.530 uncertainty=-2.969 (383s)
step 6900 loss 0.0627 active=0.029 d=0.000 p_box=0.000 p_ground=0.077 normal=0.000 cardinality=0.423 uncertainty=-2.970 (388s)
step 7000 loss 0.1074 active=0.029 d=0.000 p_box=0.000 p_ground=0.078 normal=0.000 cardinality=0.504 uncertainty=-2.973 (393s)
step 7100 loss 0.0506 active=0.029 d=0.000 p_box=0.000 p_ground=0.075 normal=0.000 cardinality=0.415 uncertainty=-2.976 (398s)
step 7200 loss 0.0214 active=0.029 d=0.000 p_box=0.000 p_ground=0.069 normal=0.000 cardinality=0.426 uncertainty=-2.977 (404s)
step 7300 loss 0.0332 active=0.029 d=0.000 p_box=0.000 p_ground=0.070 normal=0.000 cardinality=0.433 uncertainty=-2.977 (409s)
step 7400 loss 0.2023 active=0.028 d=0.000 p_box=0.000 p_ground=0.096 normal=0.000 cardinality=0.515 uncertainty=-2.978 (414s)
step 7500 loss 0.0711 active=0.028 d=0.000 p_box=0.000 p_ground=0.078 normal=0.000 cardinality=0.441 uncertainty=-2.978 (419s)
step 7600 loss 0.0897 active=0.026 d=0.000 p_box=0.000 p_ground=0.087 normal=0.000 cardinality=0.396 uncertainty=-2.980 (424s)
step 7700 loss 0.1244 active=0.028 d=0.000 p_box=0.000 p_ground=0.088 normal=0.000 cardinality=0.446 uncertainty=-2.979 (430s)
step 7800 loss 0.1130 active=0.027 d=0.000 p_box=0.000 p_ground=0.089 normal=0.000 cardinality=0.421 uncertainty=-2.982 (435s)
step 7900 loss 0.1024 active=0.027 d=0.001 p_box=0.000 p_ground=0.085 normal=0.000 cardinality=0.438 uncertainty=-2.983 (440s)
