NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_transition.py --data data/pilot1b --contact-mode none --out runs/expA_pilot_state_only --steps 30000 --eval-every 10000 --workers 2 --eval-contact-sources gt
loaded split train: 1189 episodes in 86.2s
loaded split val: 255 episodes in 18.7s
loaded split test: 255 episodes in 4.4s
loaded split test_geometry: 301 episodes in 1.8s
transition model contact_mode=none params=618630
  [val one-step] dv_err_mean=0.01658 dw_err_mean=0.2458 dv_err_far_free=0.002718 dw_err_far_free=0.02219 dv_err_near_contact=0.03144 dw_err_near_contact=0.2726 dv_err_first_impact=0.6567 dw_err_first_impact=7.157 dv_err_contact=0.01215 dw_err_contact=0.2184 dv_err_rebound_repeat=0.1557 dw_err_rebound_repeat=3.201 dv_err_resting=0.004636 dw_err_resting=0.1157
step 20100 loss 0.57099 (1-step 0.57099) 164s
step 20200 loss 0.74918 (1-step 0.74918) 165s
step 20300 loss 1.00733 (1-step 1.00733) 166s
step 20400 loss 0.76642 (1-step 0.76642) 166s
step 20500 loss 1.08953 (1-step 1.08953) 167s
step 20600 loss 0.84073 (1-step 0.84073) 168s
step 20700 loss 0.85556 (1-step 0.85556) 169s
step 20800 loss 0.62785 (1-step 0.62785) 170s
step 20900 loss 0.56652 (1-step 0.56652) 170s
step 21000 loss 0.66522 (1-step 0.66522) 171s
step 21100 loss 0.68733 (1-step 0.68733) 172s
step 21200 loss 0.68164 (1-step 0.68164) 173s
step 21300 loss 0.89253 (1-step 0.89253) 174s
step 21400 loss 0.54092 (1-step 0.54092) 175s
step 21500 loss 1.08385 (1-step 1.08385) 175s
step 21600 loss 0.38334 (1-step 0.38334) 176s
step 21700 loss 0.68857 (1-step 0.68857) 177s
step 21800 loss 0.67945 (1-step 0.67945) 177s
step 21900 loss 0.61210 (1-step 0.61210) 178s
step 22000 loss 0.71161 (1-step 0.71161) 179s
step 22100 loss 0.74932 (1-step 0.74932) 180s
step 22200 loss 0.93511 (1-step 0.93511) 181s
step 22300 loss 0.69624 (1-step 0.69624) 181s
step 22400 loss 0.48534 (1-step 0.48534) 182s
step 22500 loss 0.68419 (1-step 0.68419) 183s
step 22600 loss 0.50987 (1-step 0.50987) 184s
step 22700 loss 0.56276 (1-step 0.56276) 184s
step 22800 loss 0.60827 (1-step 0.60827) 185s
step 22900 loss 0.71900 (1-step 0.71900) 186s
step 23000 loss 0.58409 (1-step 0.58409) 187s
step 23100 loss 0.75534 (1-step 0.75534) 188s
step 23200 loss 0.69044 (1-step 0.69044) 189s
step 23300 loss 0.47180 (1-step 0.47180) 189s
step 23400 loss 0.70764 (1-step 0.70764) 190s
step 23500 loss 0.54156 (1-step 0.54156) 191s
step 23600 loss 0.90916 (1-step 0.90916) 192s
step 23700 loss 0.71028 (1-step 0.71028) 192s
step 23800 loss 0.78610 (1-step 0.78610) 193s
step 23900 loss 0.61669 (1-step 0.61669) 194s
step 24000 loss 0.62378 (1-step 0.62378) 195s
step 24100 loss 0.42314 (1-step 0.42314) 195s
step 24200 loss 0.78825 (1-step 0.78825) 196s
step 24300 loss 0.59691 (1-step 0.59691) 197s
step 24400 loss 0.36137 (1-step 0.36137) 198s
step 24500 loss 0.52086 (1-step 0.52086) 199s
step 24600 loss 0.74900 (1-step 0.74900) 200s
step 24700 loss 0.48750 (1-step 0.48750) 200s
step 24800 loss 0.41539 (1-step 0.41539) 201s
step 24900 loss 0.38212 (1-step 0.38212) 202s
step 25000 loss 0.76957 (1-step 0.76957) 203s
step 25100 loss 0.59640 (1-step 0.59640) 203s
step 25200 loss 0.53717 (1-step 0.53717) 204s
step 25300 loss 0.66273 (1-step 0.66273) 205s
step 25400 loss 0.35033 (1-step 0.35033) 206s
step 25500 loss 0.43793 (1-step 0.43793) 207s
step 25600 loss 0.50341 (1-step 0.50341) 207s
step 25700 loss 0.73857 (1-step 0.73857) 208s
step 25800 loss 0.63937 (1-step 0.63937) 209s
step 25900 loss 0.57018 (1-step 0.57018) 209s
step 26000 loss 0.62696 (1-step 0.62696) 210s
step 26100 loss 0.58105 (1-step 0.58105) 211s
step 26200 loss 0.62489 (1-step 0.62489) 212s
step 26300 loss 0.74661 (1-step 0.74661) 213s
step 26400 loss 0.56337 (1-step 0.56337) 213s
step 26500 loss 0.34113 (1-step 0.34113) 214s
step 26600 loss 0.47077 (1-step 0.47077) 215s
step 26700 loss 0.60584 (1-step 0.60584) 216s
step 26800 loss 0.54217 (1-step 0.54217) 216s
step 26900 loss 0.54095 (1-step 0.54095) 217s
step 27000 loss 0.41614 (1-step 0.41614) 218s
step 27100 loss 0.36290 (1-step 0.36290) 219s
step 27200 loss 0.71846 (1-step 0.71846) 220s
step 27300 loss 0.62846 (1-step 0.62846) 220s
step 27400 loss 0.68643 (1-step 0.68643) 221s
step 27500 loss 0.49207 (1-step 0.49207) 222s
step 27600 loss 0.28189 (1-step 0.28189) 223s
step 27700 loss 0.64869 (1-step 0.64869) 224s
step 27800 loss 0.55945 (1-step 0.55945) 225s
step 27900 loss 0.36960 (1-step 0.36960) 225s
step 28000 loss 0.97095 (1-step 0.97095) 226s
step 28100 loss 0.41714 (1-step 0.41714) 227s
step 28200 loss 0.44820 (1-step 0.44820) 228s
step 28300 loss 0.46630 (1-step 0.46630) 229s
step 28400 loss 0.88024 (1-step 0.88024) 229s
step 28500 loss 0.60261 (1-step 0.60261) 230s
step 28600 loss 0.53441 (1-step 0.53441) 231s
step 28700 loss 0.47271 (1-step 0.47271) 232s
step 28800 loss 0.42894 (1-step 0.42894) 233s
step 28900 loss 0.74967 (1-step 0.74967) 234s
step 29000 loss 0.46955 (1-step 0.46955) 234s
step 29100 loss 0.58847 (1-step 0.58847) 235s
